order_date,sales,year,month,day,day_name,day_of_week,date_is_weekend
2014-09-07,377.97,2014,9,7,Sunday,6,1
2014-07-08,699.192,2014,7,8,Tuesday,1,0
2014-03-14,91.056,2014,3,14,Friday,4,0
2014-01-28,3.928,2014,1,28,Tuesday,1,0
2014-04-08,21.376,2014,4,8,Tuesday,1,0
2014-05-25,14.62,2014,5,25,Sunday,6,1
2014-04-18,697.074,2014,4,18,Friday,4,0
2014-12-16,129.44,2014,12,16,Tuesday,1,0
2014-11-24,508.62,2014,11,24,Monday,0,0
2014-03-26,18.75,2014,3,26,Wednesday,2,0
2014-10-19,321.552,2014,10,19,Sunday,6,1
2014-03-28,302.376,2014,3,28,Friday,4,0
2014-06-02,605.47,2014,6,2,Monday,0,0
2014-10-21,788.86,2014,10,21,Tuesday,1,0
2014-11-19,166.44,2014,11,19,Wednesday,2,0
2014-12-02,2.394,2014,12,2,Tuesday,1,0
2014-12-09,100.704,2014,12,9,Tuesday,1,0
2014-08-27,13.36,2014,8,27,Wednesday,2,0
2014-12-22,296.712,2014,12,22,Monday,0,0
2014-12-07,269.36,2014,12,7,Sunday,6,1
2014-12-26,8.016,2014,12,26,Friday,4,0
2014-04-20,59.92,2014,4,20,Sunday,6,1
2014-09-12,69.99,2014,9,12,Friday,4,0
2014-11-28,542.34,2014,11,28,Friday,4,0
2014-12-15,803.96,2014,12,15,Monday,0,0
2014-03-31,1.869,2014,3,31,Monday,0,0
2014-11-17,34.44,2014,11,17,Monday,0,0
2014-10-28,1252.602,2014,10,28,Tuesday,1,0
2014-09-30,48.94,2014,9,30,Tuesday,1,0
2014-10-04,29.24,2014,10,4,Saturday,5,1
2014-11-21,865.5,2014,11,21,Friday,4,0
2014-11-24,120.712,2014,11,24,Monday,0,0
2014-12-29,408.768,2014,12,29,Monday,0,0
2014-01-23,40.08,2014,1,23,Thursday,3,0
2014-04-06,199.99,2014,4,6,Sunday,6,1
2014-11-01,1044.44,2014,11,1,Saturday,5,1
2014-09-09,233.244,2014,9,9,Tuesday,1,0
2014-04-05,4251.92,2014,4,5,Saturday,5,1
2014-07-23,99.98,2014,7,23,Wednesday,2,0
2014-10-17,5.312,2014,10,17,Friday,4,0
2014-12-20,1107.66,2014,12,20,Saturday,5,1
2014-09-22,331.536,2014,9,22,Monday,0,0
2014-11-09,56.52,2014,11,9,Sunday,6,1
2014-05-10,1769.784,2014,5,10,Saturday,5,1
2014-07-05,242.546,2014,7,5,Saturday,5,1
2014-08-26,31.4,2014,8,26,Tuesday,1,0
2014-01-15,149.95,2014,1,15,Wednesday,2,0
2014-05-18,779.796,2014,5,18,Sunday,6,1
2014-11-21,12.96,2014,11,21,Friday,4,0
2014-05-30,765.494,2014,5,30,Friday,4,0
2014-10-10,1488.774,2014,10,10,Friday,4,0
2014-09-09,10.896,2014,9,9,Tuesday,1,0
2014-11-30,62.28,2014,11,30,Sunday,6,1
2014-08-25,1007.944,2014,8,25,Monday,0,0
2014-09-12,63.924,2014,9,12,Friday,4,0
2014-02-23,11.364,2014,2,23,Sunday,6,1
2014-01-03,16.448,2014,1,3,Friday,4,0
2014-12-02,21.19,2014,12,2,Tuesday,1,0
2014-05-11,225.016,2014,5,11,Sunday,6,1
2014-09-17,260.79,2014,9,17,Wednesday,2,0
2014-03-19,590.762,2014,3,19,Wednesday,2,0
2014-08-25,176.14,2014,8,25,Monday,0,0
2014-03-01,457.568,2014,3,1,Saturday,5,1
2014-06-27,616.14,2014,6,27,Friday,4,0
2014-06-17,65.97,2014,6,17,Tuesday,1,0
2014-06-02,133.128,2014,6,2,Monday,0,0
2014-03-07,1143.822,2014,3,7,Friday,4,0
2014-12-30,609.614,2014,12,30,Tuesday,1,0
2014-12-08,60.416,2014,12,8,Monday,0,0
2014-05-21,31.84,2014,5,21,Wednesday,2,0
2014-02-04,17.248,2014,2,4,Tuesday,1,0
2014-11-18,21.98,2014,11,18,Tuesday,1,0
2014-12-09,34.68,2014,12,9,Tuesday,1,0
2014-09-07,469.043,2014,9,7,Sunday,6,1
2014-04-04,18.9,2014,4,4,Friday,4,0
2014-11-28,460.092,2014,11,28,Friday,4,0
2014-11-11,143.128,2014,11,11,Tuesday,1,0
2014-11-22,6.928,2014,11,22,Saturday,5,1
2014-01-07,87.158,2014,1,7,Tuesday,1,0
2014-03-03,626.352,2014,3,3,Monday,0,0
2014-05-30,70.368,2014,5,30,Friday,4,0
2014-11-11,665.88,2014,11,11,Tuesday,1,0
2014-11-24,1661.028,2014,11,24,Monday,0,0
2014-01-06,12.78,2014,1,6,Monday,0,0
2014-06-07,268.935,2014,6,7,Saturday,5,1
2014-12-26,15.39,2014,12,26,Friday,4,0
2014-12-05,1280.992,2014,12,5,Friday,4,0
2014-10-31,1007.936,2014,10,31,Friday,4,0
2014-09-05,264.32,2014,9,5,Friday,4,0
2014-08-24,8.288,2014,8,24,Sunday,6,1
2014-12-06,1261.33,2014,12,6,Saturday,5,1
2014-12-29,144.36,2014,12,29,Monday,0,0
2014-05-14,310.88,2014,5,14,Wednesday,2,0
2014-09-02,475.944,2014,9,2,Tuesday,1,0
2014-07-05,180.96,2014,7,5,Saturday,5,1
2014-09-28,46.26,2014,9,28,Sunday,6,1
2014-02-04,117.136,2014,2,4,Tuesday,1,0
2014-08-25,30.246,2014,8,25,Monday,0,0
2014-11-02,124.2,2014,11,2,Sunday,6,1
2014-03-02,47.76,2014,3,2,Sunday,6,1
2014-12-12,23.472,2014,12,12,Friday,4,0
2014-07-02,79.56,2014,7,2,Wednesday,2,0
2014-02-14,16.176,2014,2,14,Friday,4,0
2014-02-07,115.36,2014,2,7,Friday,4,0
2014-10-28,257.98,2014,10,28,Tuesday,1,0
2014-04-29,661.504,2014,4,29,Tuesday,1,0
2014-09-08,1771.52,2014,9,8,Monday,0,0
2014-08-24,25.952,2014,8,24,Sunday,6,1
2014-06-08,1745.36,2014,6,8,Sunday,6,1
2014-02-06,8.952,2014,2,6,Thursday,3,0
2014-10-02,598.144,2014,10,2,Thursday,3,0
2014-12-16,92.856,2014,12,16,Tuesday,1,0
2014-10-31,1421.664,2014,10,31,Friday,4,0
2014-10-24,10.368,2014,10,24,Friday,4,0
2014-05-28,136.96,2014,5,28,Wednesday,2,0
2014-10-03,212.952,2014,10,3,Friday,4,0
2014-08-15,243.6,2014,8,15,Friday,4,0
2014-12-21,17.28,2014,12,21,Sunday,6,1
2014-11-05,20.04,2014,11,5,Wednesday,2,0
2014-06-30,32.4,2014,6,30,Monday,0,0
2014-01-13,545.94,2014,1,13,Monday,0,0
2014-08-12,196.21,2014,8,12,Tuesday,1,0
2014-02-20,82.63,2014,2,20,Thursday,3,0
2014-10-06,386.34,2014,10,6,Monday,0,0
2014-09-01,380.744,2014,9,1,Monday,0,0
2014-07-21,35.98,2014,7,21,Monday,0,0
2014-08-12,891.776,2014,8,12,Tuesday,1,0
2014-07-14,17.94,2014,7,14,Monday,0,0
2014-09-07,131.84,2014,9,7,Sunday,6,1
2014-12-09,247.784,2014,12,9,Tuesday,1,0
2014-12-06,23.976,2014,12,6,Saturday,5,1
2014-08-05,151.95,2014,8,5,Tuesday,1,0
2014-10-22,93.888,2014,10,22,Wednesday,2,0
2014-04-25,302.376,2014,4,25,Friday,4,0
2014-07-12,505.686,2014,7,12,Saturday,5,1
2014-05-05,127.869,2014,5,5,Monday,0,0
2014-11-23,23.68,2014,11,23,Sunday,6,1
2014-10-18,2216.8,2014,10,18,Saturday,5,1
2014-01-21,25.248,2014,1,21,Tuesday,1,0
2014-08-09,20.88,2014,8,9,Saturday,5,1
2014-04-11,410.104,2014,4,11,Friday,4,0
2014-10-06,83.92,2014,10,6,Monday,0,0
2014-08-23,71.84,2014,8,23,Saturday,5,1
2014-12-29,1365.63,2014,12,29,Monday,0,0
2014-04-18,323.458,2014,4,18,Friday,4,0
2014-06-01,334.68,2014,6,1,Sunday,6,1
2014-02-03,97.112,2014,2,3,Monday,0,0
2014-12-31,77.21,2014,12,31,Wednesday,2,0
2014-03-02,154.624,2014,3,2,Sunday,6,1
2014-07-30,1367.84,2014,7,30,Wednesday,2,0
2014-11-24,5.742,2014,11,24,Monday,0,0
2014-12-26,855.272,2014,12,26,Friday,4,0
2014-08-17,484.79,2014,8,17,Sunday,6,1
2014-06-29,13.92,2014,6,29,Sunday,6,1
2014-04-23,48.91,2014,4,23,Wednesday,2,0
2014-03-18,1198.33,2014,3,18,Tuesday,1,0
2014-05-04,43.312,2014,5,4,Sunday,6,1
2014-05-05,47.32,2014,5,5,Monday,0,0
2014-09-29,817.798,2014,9,29,Monday,0,0
2014-12-02,1050.6,2014,12,2,Tuesday,1,0
2014-04-03,233.45,2014,4,3,Thursday,3,0
2014-01-04,288.06,2014,1,4,Saturday,5,1
2014-03-31,0.852,2014,3,31,Monday,0,0
2014-12-16,1.167,2014,12,16,Tuesday,1,0
2014-09-11,127.95,2014,9,11,Thursday,3,0
2014-09-17,182.94,2014,9,17,Wednesday,2,0
2014-10-24,11.85,2014,10,24,Friday,4,0
2014-12-24,9.568,2014,12,24,Wednesday,2,0
2014-12-16,328.592,2014,12,16,Tuesday,1,0
2014-07-09,172.097,2014,7,9,Wednesday,2,0
2014-12-12,30.72,2014,12,12,Friday,4,0
2014-09-14,460.22,2014,9,14,Sunday,6,1
2014-09-10,336.82,2014,9,10,Wednesday,2,0
2014-12-13,90.24,2014,12,13,Saturday,5,1
2014-05-13,287.456,2014,5,13,Tuesday,1,0
2014-09-13,340.116,2014,9,13,Saturday,5,1
2014-03-01,651.588,2014,3,1,Saturday,5,1
2014-04-05,55.48,2014,4,5,Saturday,5,1
2014-06-16,115.952,2014,6,16,Monday,0,0
2014-09-23,18.464,2014,9,23,Tuesday,1,0
2014-07-09,68.704,2014,7,9,Wednesday,2,0
2014-05-10,372.285,2014,5,10,Saturday,5,1
2014-11-01,94.264,2014,11,1,Saturday,5,1
2014-11-05,1476.834,2014,11,5,Wednesday,2,0
2014-10-11,16.23,2014,10,11,Saturday,5,1
2014-08-20,1417.35,2014,8,20,Wednesday,2,0
2014-09-28,337.088,2014,9,28,Sunday,6,1
2014-05-13,149.97,2014,5,13,Tuesday,1,0
2014-03-14,280.276,2014,3,14,Friday,4,0
2014-12-23,109.836,2014,12,23,Tuesday,1,0
2014-06-13,14.52,2014,6,13,Friday,4,0
2014-03-11,782.63,2014,3,11,Tuesday,1,0
2014-09-26,153.824,2014,9,26,Friday,4,0
2014-05-02,26.136,2014,5,2,Friday,4,0
2014-10-18,605.34,2014,10,18,Saturday,5,1
2014-09-26,52.752,2014,9,26,Friday,4,0
2014-01-31,290.666,2014,1,31,Friday,4,0
2014-08-25,199.256,2014,8,25,Monday,0,0
2014-11-18,14.48,2014,11,18,Tuesday,1,0
2014-08-06,62.91,2014,8,6,Wednesday,2,0
2014-01-16,299.964,2014,1,16,Thursday,3,0
2014-06-09,3714.304,2014,6,9,Monday,0,0
2014-11-02,409.304,2014,11,2,Sunday,6,1
2014-11-24,2.624,2014,11,24,Monday,0,0
2014-07-15,9.51,2014,7,15,Tuesday,1,0
2014-07-26,256.48,2014,7,26,Saturday,5,1
2014-03-04,354.9,2014,3,4,Tuesday,1,0
2014-09-12,3785.292,2014,9,12,Friday,4,0
2014-11-15,362.176,2014,11,15,Saturday,5,1
2014-12-14,186.304,2014,12,14,Sunday,6,1
2014-05-08,1799.97,2014,5,8,Thursday,3,0
2014-12-15,6.16,2014,12,15,Monday,0,0
2014-06-30,47.232,2014,6,30,Monday,0,0
2014-04-26,34.0,2014,4,26,Saturday,5,1
2014-10-11,408.47,2014,10,11,Saturday,5,1
2014-09-23,9900.19,2014,9,23,Tuesday,1,0
2014-07-21,1173.616,2014,7,21,Monday,0,0
2014-03-04,15.552,2014,3,4,Tuesday,1,0
2014-10-19,13.44,2014,10,19,Sunday,6,1
2014-08-01,202.896,2014,8,1,Friday,4,0
2014-10-07,129.92,2014,10,7,Tuesday,1,0
2014-07-22,1136.092,2014,7,22,Tuesday,1,0
2014-09-21,6.57,2014,9,21,Sunday,6,1
2014-05-21,3333.9,2014,5,21,Wednesday,2,0
2014-05-04,46.8,2014,5,4,Sunday,6,1
2014-09-07,643.78,2014,9,7,Sunday,6,1
2014-01-13,40.846,2014,1,13,Monday,0,0
2014-12-29,8.736,2014,12,29,Monday,0,0
2014-04-29,19.98,2014,4,29,Tuesday,1,0
2014-03-17,249.92,2014,3,17,Monday,0,0
2014-08-05,472.044,2014,8,5,Tuesday,1,0
2014-04-28,526.96,2014,4,28,Monday,0,0
2014-11-27,3.76,2014,11,27,Thursday,3,0
2014-11-16,730.8525,2014,11,16,Sunday,6,1
2014-11-25,1393.872,2014,11,25,Tuesday,1,0
2014-05-11,122.052,2014,5,11,Sunday,6,1
2014-11-17,3116.49,2014,11,17,Monday,0,0
2014-12-15,8.544,2014,12,15,Monday,0,0
2014-11-03,5.76,2014,11,3,Monday,0,0
2014-10-08,123.92,2014,10,8,Wednesday,2,0
2014-07-04,209.968,2014,7,4,Friday,4,0
2014-12-27,11.56,2014,12,27,Saturday,5,1
2014-11-07,317.48,2014,11,7,Friday,4,0
2014-09-20,504.55,2014,9,20,Saturday,5,1
2014-08-24,25.5,2014,8,24,Sunday,6,1
2014-12-01,2854.48,2014,12,1,Monday,0,0
2014-11-23,46.088,2014,11,23,Sunday,6,1
2014-11-02,799.92,2014,11,2,Sunday,6,1
2014-12-19,1979.89,2014,12,19,Friday,4,0
2014-10-03,57.908,2014,10,3,Friday,4,0
2014-03-23,935.152,2014,3,23,Sunday,6,1
2014-12-20,84.872,2014,12,20,Saturday,5,1
2014-09-27,87.54,2014,9,27,Saturday,5,1
2014-11-06,43.68,2014,11,6,Thursday,3,0
2014-11-10,1194.87,2014,11,10,Monday,0,0
2014-11-28,17.248,2014,11,28,Friday,4,0
2014-11-04,66.616,2014,11,4,Tuesday,1,0
2014-11-03,840.712,2014,11,3,Monday,0,0
2014-11-28,998.85,2014,11,28,Friday,4,0
2014-05-06,140.736,2014,5,6,Tuesday,1,0
2014-08-19,10.72,2014,8,19,Tuesday,1,0
2014-02-14,560.55,2014,2,14,Friday,4,0
